category,provider,searchstring
ip,abuseipdb.com,https://www.abuseipdb.com/check/%s
ip,shodan.io,https://www.shodan.io/host/%s
ip,securitytrails.com,https://securitytrails.com/list/ip/%s
ip,virustotal.com,https://www.virustotal.com/gui/ip-address/%s
ip,urlscan.io,https://urlscan.io/search/#%s
ip,exchange.xforce.ibmcloud.com,https://exchange.xforce.ibmcloud.com/ip/%s
ip,viz.greynoise.io,https://viz.greynoise.io/ip/%s
ip,iknowwhatyoudownload.com,https://iknowwhatyoudownload.com/en/peer/?ip=%s
ip,virustotal.com Graph,https://www.virustotal.com/graph/%s
ip,whatsmydns.net PTR,https://www.whatsmydns.net/dns-lookup/ptr-records?server=google&query=%s
domain,virustotal.com Graph,https://www.virustotal.com/graph/%s
domain,crt.sh,https://crt.sh/?q=%s
domain,mxtoolbox.com MX Blacklist,https://mxtoolbox.com/SuperTool.aspx?action=blacklist%3a%s&run=toolpage
domain,email-format.com,https://www.email-format.com/d/%s/
domain,securitytrails.com,https://securitytrails.com/domain/%s/dns
domain,builtwith.com,https://builtwith.com/%s
domain,virustotal.com,https://www.virustotal.com/gui/domain/%s
domain,urlscan.io,https://urlscan.io/search/#%s
domain,dnsmap.io,https://dnsmap.io/#A/%s
domain,similarweb.com,https://www.similarweb.com/website/%s/
domain,exchange.xforce.ibmcloud.com,https://exchange.xforce.ibmcloud.com/url/%s
domain,whoisology.com,https://whoisology.com/%s
domain,securityheaders.com,https://securityheaders.com/?followRedirects=on&q=%s
domain,wappalyzer.com,https://www.wappalyzer.com/lookup/%s/
domain,whatcms.org,https://whatcms.org/?s=%s
domain,dnsspy.io,https://dnsspy.io/scan/%s
domain,dnsviz.net,https://dnsviz.net/d/%s/dnssec/
domain,observatory.mozilla.org,https://observatory.mozilla.org/analyze/%s
domain,hunter.io,https://hunter.io/try/search/%s
domain,downforeveryoneorjustme.com,https://downforeveryoneorjustme.com/%s
domain,instantdomainsearch.com,https://instantdomainsearch.com/domain/extensions?q=%s
string,buckets.grayhatwarfare.com,https://buckets.grayhatwarfare.com/files?keywords=%s
string,github.com,https://github.com/search?type=code&q=%s
string,twitter.com,https://twitter.com/search?q=%s
string,grep.app,https://grep.app/search?q=%s
string,google.com,https://www.google.com/search?q=%s
string,trends.google.com,https://trends.google.com/trends/explore?date=now%201-d&geo=NZ&hl=en-GB&q=%s
string,linkedin.com,https://www.linkedin.com/search/results/content/?keywords=%s
email,whoisology,https://whoisology.com/%s
bitcoin,bitcoinabuse.com,https://www.bitcoinabuse.com/reports/%s
bitcoin,breadcrumbs.app,https://www.breadcrumbs.app/reports/%s
string,publicwww.com,https://publicwww.com/websites/%s/
string,ipfs-search.com,https://ipfs-search.com/#/search?q=%s
domain,pulsedive.com,https://pulsedive.com/indicator/?ioc=%s
ip,pulsedive.com,https://pulsedive.com/indicator/?ioc=%s
ethereum,breadcrumbs.app,https://www.breadcrumbs.app/reports/%s
domain,leakix.net,https://leakix.net/domain/%s
string,news.google.com,https://news.google.com/search?hl=en-NZ&gl=NZ&ceid=NZ:en&q=%s
ip,dehashed.com,https://www.dehashed.com/search?query=ip_address:%s
email,dehashed.com,https://www.dehashed.com/search?query=email:%s
domain,dehashed.com,https://www.dehashed.com/search?query=domain:%s
email,intelx.io,https://intelx.io/?s=%s
bitcoin,intelx.io,https://intelx.io/?s=%s
string,intelx.io,https://intelx.io/?s=%s
domain,intelx.io,https://intelx.io/?s=%s
ethereum,intelx.io,https://intelx.io/?s=%s
string,web.archive.org,https://web.archive.org/web/20230000000000*/%s
domain,web.archive.org,https://web.archive.org/web/20230000000000*/%s
string,usersearch.org,https://usersearch.org/results_advanced.php?URL_username=%s
domain,namechk.com,https://namechk.com/namechk-plugin-search-results/?n=%s
string,checkusernames.com,https://checkusernames.com/?username=%s
string,nitter.net,https://nitter.net/%s
string,tiktok.com,https://www.tiktok.com/search?lang=en&q=%s
string,telegramdb.org,https://www.telegramdb.org/search?q=%s
ip,browserleaks.com,https://browserleaks.com/ip/%s
string,opensanctions.org,https://www.opensanctions.org/search/?q=%s
email,thatsthem.com,https://thatsthem.com/email/%s
email,epieos.com,https://epieos.com/?t=email&q=%s
ip,criminalip.io,https://www.criminalip.io/en/asset/report/%s
string,picuki.com,https://www.picuki.com/profile/%s
domain,analyzeid.com,https://analyzeid.com/id/%s
string,discordservers.com,https://discordservers.com/search/%s
string,discordhub.com,https://discordhub.com/user/search?user_search_bar=%s
domain,visualsitemapper.com,http://www.visualsitemapper.com/map/%s
bitcoin,blockchain.com,https://www.blockchain.com/explorer/addresses/btc/%s
bitcoin,bitcoinwhoswho.com,https://www.bitcoinwhoswho.com/address/%s
ethereum,etherscan.io,https://etherscan.io/address/%s
ethereum,beaconcha.in,https://beaconcha.in/address/%s
string,ahmia.fi,https://ahmia.fi/search/?q=%s
url,web.archive.org,https://web.archive.org/web/20230000000000*/%s
url,webcache.googleusercontent.com,http://webcache.googleusercontent.com/search?q=cache:%s
url,archive.is,https://archive.is/%s
string,urlscan.io,https://urlscan.io/search/#%s
domain,google.com inurl,https://www.google.com/search?q=inurl%3A%22%s%22
string,bing.com,https://www.bing.com/search?q=%s
string,qwant.com,https://www.qwant.com/?q=%s
string,swisscows.com,https://swisscows.com/en/web?query=%s
string,duckduckgo.com,https://duckduckgo.com/?q=%s
string,gibiru.com,https://gibiru.com/results.html?q=%s
